"TOA5","CR200Series_303","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-02-01 12:00:00",2243,12.52107,303,0,0.914,1.08,1.83,0.08924,0.15044,0.15774,0.30304,36.393,30.464
"2021-02-01 12:30:00",2244,12.50092,303,0,0.895,1.04,1.81,0.08588,0.14928,0.15212,0.30268,34.269,30.576
"2021-02-01 13:00:00",2245,12.5026,303,0,0.91,1.05,1.85,0.08665,0.15212,0.15618,0.30405,36.244,31.561
"2021-02-01 13:30:00",2246,12.47154,303,0,0.904,1.04,1.84,0.08556,0.15124,0.15822,0.30538,34.366,31.088
"2021-02-01 14:00:00",2247,12.48246,303,0,0.914,1.09,1.82,0.08946,0.15012,0.15684,0.30232,35.78,30.005
"2021-02-01 14:30:00",2248,12.47238,303,0,0.904,1.07,1.81,0.08788,0.14893,0.15435,0.3049,34.691,30.58
"2021-02-01 15:00:00",2249,12.4514,303,0,0.91,1.07,1.83,0.08822,0.15096,0.15458,0.30366,35.464,30.21
"2021-02-01 15:30:00",2250,12.45979,303,0,0.936,1.11,1.87,0.09172,0.1544,0.15724,0.30451,34.793,30.369
"2021-02-01 16:00:00",2251,12.45308,303,0,0.92,1.1,1.83,0.09022,0.15096,0.15618,0.3032,36.09,30.836
"2021-02-01 16:30:00",2252,12.45056,303,0,0.93,1.11,1.85,0.09146,0.15243,0.15548,0.3028,35.201,30.779
"2021-02-01 17:00:00",2253,12.44636,303,0,0.911,1.08,1.82,0.0887,0.14953,0.1591,0.3049,34.286,31.112
"2021-02-01 17:30:00",2254,12.44552,303,0,0.914,1.08,1.83,0.08902,0.15071,0.15618,0.3028,34.989,31.4
"2021-02-01 18:00:00",2255,12.42537,303,0,0.939,1.13,1.86,0.09292,0.15359,0.15819,0.30359,35.154,30.47
"2021-02-01 18:30:00",2256,12.44216,303,0,0.924,1.11,1.83,0.09146,0.1504,0.15706,0.3028,35.517,30.419
"2021-02-01 19:00:00",2257,12.44384,303,0,0.917,1.08,1.84,0.08912,0.15187,0.15524,0.30359,34.785,30.521
"2021-02-01 19:30:00",2258,12.43209,303,0,0.917,1.1,1.82,0.09092,0.14956,0.15774,0.30316,34.932,31.5
"2021-02-01 20:00:00",2259,12.43713,303,0,0.908,1.08,1.81,0.08897,0.14928,0.15905,0.30268,35.4,31.134
"2021-02-01 20:30:00",2260,12.43713,303,0,0.907,1.05,1.84,0.0861,0.15187,0.15388,0.30526,34.37,31.093
"2021-02-01 21:00:00",2261,12.43461,303,0,0.924,1.12,1.82,0.09209,0.14985,0.1586,0.30316,34.053,31.713
"2021-02-01 21:30:00",2262,12.43377,303,0,0.933,1.13,1.84,0.09278,0.15128,0.15684,0.30438,34.212,30.779
"2021-02-01 22:00:00",2263,12.43713,303,0,0.923,1.1,1.84,0.09036,0.15159,0.15999,0.30106,36.654,30.048
"2021-02-01 22:30:00",2264,12.42789,303,0,0.892,1.07,1.77,0.08822,0.14586,0.15724,0.29853,34.156,31.139
"2021-02-01 23:00:00",2265,12.43209,303,0,0.905,1.12,1.76,0.09227,0.14469,0.16068,0.30109,35.884,31.045
"2021-02-01 23:30:00",2266,12.43125,303,0,0.911,1.11,1.79,0.09159,0.14785,0.15724,0.30022,36.491,31.396
"2021-02-02 00:00:00",2267,12.40942,303,0,0.898,1.07,1.79,0.08788,0.14785,0.15706,0.30268,35.386,31.124
"2021-02-02 00:30:00",2268,12.42873,303,0,0.886,1.09,1.73,0.08972,0.1427,0.15886,0.29818,35.085,29.99
"2021-02-02 01:00:00",2269,12.42957,303,0,0.905,1.1,1.78,0.09036,0.14669,0.15932,0.30109,36.018,31.079
"2021-02-02 01:30:00",2270,12.42789,303,0,0.873,1.05,1.73,0.08636,0.1424,0.15594,0.29899,35.134,30.298
"2021-02-02 02:00:00",2271,12.42621,303,0,0.889,1.07,1.76,0.08805,0.14469,0.15773,0.29858,36.032,30.519
