"TOA5","CR200Series_601","CR200X","No_SN","CR200X.Std.02","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-04-18 07:30:00",0,13.01046,601,0,0.384,5.18,5.33,0.45839,0.47177,0.40544,0.30934,51.384,39.407
"2024-04-18 08:00:00",1,12.9878,601,0,0.521,7.06,7.19,0.6245,0.63598,0.56591,0.4299,49.745,39.812
"2024-04-18 08:30:00",2,12.97688,601,0,0.616,8.41,8.41,0.74415,0.74439,0.69315,0.5295,47.768,38.652
"2024-04-18 09:00:00",3,12.96681,601,0,0.649,8.96,8.72,0.79342,0.77157,0.7311,0.54434,47.405,38.699
"2024-04-18 09:30:00",4,12.95926,601,0,0.662,8.98,9.11,0.79448,0.80627,0.75375,0.58205,45.864,38.542
"2024-04-18 10:00:00",5,12.9475,601,0,0.713,9.53,10,0.84385,0.88468,0.83175,0.65579,44.373,37.718
"2024-04-18 10:30:00",6,12.95254,601,0,0.765,10.52,10.33,0.93098,0.91471,0.8948,0.68142,42.824,37.399
"2024-04-18 11:00:00",7,12.93995,601,0,0.766,10.21,10.76,0.90337,0.95272,0.91999,0.7279,42.046,36.213
"2024-04-18 11:30:00",8,12.94163,601,0,0.775,10.33,10.9,0.91471,0.9649,0.94549,0.75079,40.586,35.979
"2024-04-18 12:00:00",9,12.92568,601,0,0.785,10.51,10.98,0.93035,0.97153,0.95993,0.76099,40.315,35.299
"2024-04-18 12:30:00",10,12.92316,601,0,0.803,10.84,11.1,0.95931,0.98242,0.97265,0.76479,39.809,35.613
"2024-04-18 13:00:00",11,12.924,601,0,0.806,10.81,11.24,0.95675,0.99467,0.97962,0.77429,39.045,35.257
"2024-04-18 13:30:00",12,12.92064,601,0,0.811,10.88,11.3,0.9629,1.00012,0.98776,0.78555,39.382,34.932
"2024-04-18 14:00:00",13,12.91645,601,0,1.712,32.32,11.42,1.00629,1.01075,1.01035,0.79395,39.246,34.639
"2024-04-18 14:30:00",14,12.91477,601,0,0.806,10.74,11.34,0.95041,1.00403,0.98447,0.78581,39.295,34.946
"2024-04-18 15:00:00",15,12.91309,601,0,0.802,10.8,11.12,0.95553,0.98454,0.96971,0.76037,39.785,35.181
"2024-04-18 15:30:00",16,12.89966,601,0,0.794,11.01,10.6,0.97449,0.93793,0.92016,0.69194,42.461,36.473
"2024-04-18 16:00:00",17,12.90721,601,0,0.742,10.48,9.65,0.92761,0.85378,0.82547,0.59645,44.946,38.544
"2024-04-18 16:30:00",18,12.9005,601,0,0.681,9.5,9.02,0.84086,0.79868,0.74875,0.54916,46.793,38.342
"2024-04-18 17:00:00",19,12.88371,601,0,0.631,8.79,8.36,0.77758,0.73956,0.67837,0.49411,48.313,38.524
"2024-04-18 17:30:00",20,12.8921,601,0,0.582,8.04,7.81,0.71149,0.69151,0.62008,0.45998,48.734,38.944
"2024-04-18 18:00:00",21,12.88539,601,0,0.539,7.42,7.26,0.6569,0.64268,0.57484,0.42495,49.551,39.198
"2024-04-18 18:30:00",22,12.87615,601,0,0.5,6.9,6.71,0.6108,0.59412,0.52272,0.38222,49.604,39.097
"2024-04-18 19:00:00",23,12.87112,601,0,0.461,6.35,6.21,0.56182,0.54934,0.48384,0.36074,49.926,37.927
"2024-04-18 19:30:00",24,12.87363,601,0,0.394,5.37,5.39,0.47516,0.4774,0.39515,0.31168,49.163,37.574
"2024-04-18 20:00:00",25,12.87028,601,0,0.337,4.5,4.73,0.39794,0.41886,0.33718,0.26872,52.096,38.451
"2024-04-18 20:30:00",26,12.86356,601,0,0.291,3.79,4.22,0.33569,0.37308,0.29069,0.24074,50.524,38.67
"2024-04-18 21:00:00",27,12.86524,601,0,0.258,3.36,3.75,0.29756,0.33212,0.2542,0.21286,51.231,38.815
"2024-04-18 21:30:00",28,12.86188,601,0,0.224,2.84,3.36,0.25162,0.29705,0.21042,0.18603,52.452,38.398
